"sip","sport","dip","dport","proto","first_timestamp","pl_fwd_count","pl_len_fwd_total","pl_bwd_count","pl_len_bwd_total","dd","dn","dns","ds","application","app","traffic_type"
"10.0.0.69",8333,"173.212.193.11",40482,6,1639418691480569,8,421,2,154,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"36.189.109.109",36147,6,1639418696409459,3,150,2,1109,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"188.166.69.73",44281,6,1639418697153568,38,30686,4,213,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",39257,6,1639418700604224,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"209.222.252.19",49888,6,1639418712870433,100,37287,10,249,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"209.222.252.39",57652,6,1639418712889555,102,38785,7,235,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"162.218.65.61",9093,6,1639418712890250,100,38445,7,217,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"159.224.217.29",60202,6,1639418714535679,3,150,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"185.220.101.154",7020,6,1639418717654367,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"18.166.71.221",59236,6,1639418722047337,177,58381,61,12149,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"194.180.110.11",55473,6,1639418725676898,17,654,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"185.220.100.254",6876,6,1639418726192845,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"62.234.24.132",53636,6,1639418727434104,11,877,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"52.80.165.184",46553,6,1639418732419938,36,30386,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"162.247.74.204",53902,6,1639418735658594,20,1550,5,1463,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"81.204.111.236",38610,6,1639418754759912,20,1550,15,1463,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"64.227.124.16",51878,6,1639418769931771,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"94.237.44.67",65383,6,1639418785435817,14,359,4,239,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"66.42.91.236",51332,6,1639418802550692,8,421,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"81.9.126.148",3866,6,1639418810057384,14,359,3,289,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"88.99.167.175",19625,6,1639418816080170,14,359,4,231,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"223.166.75.230",44254,6,1639418820375933,5,209,2,252,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"195.37.209.62",56210,6,1639418820896530,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"3.98.240.70",57756,6,1639418830794594,10,476,2,155,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"136.144.237.250",36992,6,1639418832526197,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"13.125.43.217",25611,6,1639418854904434,15,605,6,219,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"13.125.43.217",6594,6,1639418862875699,22,1180,6,219,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"3.145.3.253",62507,6,1639418885875952,0,0,1,127,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Mining"
"10.0.0.69",8333,"120.84.10.69",6520,6,1639418895578836,72,51903,26,2158,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"209.222.252.39",29604,6,1639418903193240,132,51816,7,215,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"209.222.252.19",52095,6,1639418903209133,134,52932,7,235,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"162.218.65.61",22571,6,1639418903213033,131,55342,7,235,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"23.154.177.7",33033,6,1639418907688942,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"78.244.132.5",41688,6,1639418908272010,10,476,2,155,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
"10.0.0.69",8333,"142.54.168.76",46866,6,1639418917677695,18,1712,4,174,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Mining"
